County,declarationTitle,declarationDate,disasterNumber,fipsCountyCode,lat,lon
SPOKANE,OREGON FIRE,2023-08-19 00:00:00+00:00,5481,63,47.6203752,-117.4033714
SPOKANE,GRAY FIRE,2023-08-18 00:00:00+00:00,5479,63,47.6203752,-117.4033714
OKANOGAN,EAGLE BLUFF FIRE,2023-07-30 00:00:00+00:00,5472,47,48.5484533,-119.7422347
KLICKITAT,NEWELL ROAD FIRE,2023-07-23 00:00:00+00:00,5470,39,45.8704463,-120.7793049
GRANT,BAIRD SPRINGS FIRE ,2023-07-11 00:00:00+00:00,5469,25,47.2136328,-119.467788
MASON,MCEWAN FIRE ,2023-07-05 00:00:00+00:00,5468,45,47.3508322,-123.1731033
SKAMANIA,TUNNEL FIVE FIRE,2023-07-03 00:00:00+00:00,5467,59,46.0247853,-121.9532319
CLARK,NAKIA CREEK FIRE,2022-10-17 00:00:00+00:00,5456,11,45.7717295,-122.4859533
KING,BOLT CREEK FIRE,2022-09-10 00:00:00+00:00,5455,33,47.4905518,-121.8339765
ADAMS,LIND FIRE,2022-08-04 00:00:00+00:00,5447,1,47.0112378,-118.5128614
YAKIMA,SCHNEIDER SPRINGS FIRE,2021-08-19 00:00:00+00:00,5415,77,46.4565581,-120.7401446
CHELAN,TWENTYFIVE MILE FIRE,2021-08-18 00:00:00+00:00,5414,7,47.8609739,-120.619041
STEVENS,FORD CORKSCREW FIRE,2021-08-16 00:00:00+00:00,5411,65,48.3887277,-117.8544548
OKANOGAN,MUCKAMUCK FIRE,2021-08-16 00:00:00+00:00,5410,47,48.5484533,-119.7422347
OKANOGAN,CEDAR CREEK FIRE,2021-07-20 00:00:00+00:00,5401,47,48.5484533,-119.7422347
CHELAN,RED APPLE FIRE,2021-07-14 00:00:00+00:00,5398,7,47.8609739,-120.619041
OKANOGAN,CHUWEAH CREEK FIRE,2021-07-13 00:00:00+00:00,5397,0,48.5484533,-119.7422347
SPOKANE,ANDRUS FIRE,2021-07-06 00:00:00+00:00,5395,63,47.6203752,-117.4033714
PIERCE,SUMNER GRADE FIRE,2020-09-09 00:00:00+00:00,5360,53,47.0514128,-122.1532402
THURSTON,BORDEAUX ROAD FIRE,2020-09-09 00:00:00+00:00,5359,67,46.9358216,-122.8301524
SPOKANE,BABB FIRE,2020-09-08 00:00:00+00:00,5355,63,47.6203752,-117.4033714
CHELAN,APPLE ACRES FIRE,2020-09-07 00:00:00+00:00,5352,7,47.8609739,-120.619041
OKANOGAN,COLD SPRINGS/PEARL HILL FIRE,2020-09-07 00:00:00+00:00,5351,0,48.5484533,-119.7422347
YAKIMA,EVANS CANYON FIRE,2020-09-01 00:00:00+00:00,5342,77,46.4565581,-120.7401446
OKANOGAN,PALMER FIRE,2020-08-20 00:00:00+00:00,5337,47,48.5484533,-119.7422347
YAKIMA,NORTH BROWNSTOWN FIRE,2020-08-17 00:00:00+00:00,5330,77,46.4565581,-120.7401446
OKANOGAN,ANGLIN FIRE,2020-07-28 00:00:00+00:00,5323,47,48.5484533,-119.7422347
DOUGLAS,ROAD 11 FIRE,2020-07-12 00:00:00+00:00,5320,17,47.7417625,-119.6946219
FERRY,BOYD'S FIRE,2018-08-13 00:00:00+00:00,5273,19,48.4732563,-118.5335894
DOUGLAS,GRASS VALLEY FIRE,2018-08-12 00:00:00+00:00,5271,17,47.7417625,-119.6946219
CHELAN,COUGAR CREEK FIRE,2018-08-11 00:00:00+00:00,5270,7,47.8609739,-120.619041
YAKIMA,HAWK FIRE,2018-08-11 00:00:00+00:00,5269,77,46.4565581,-120.7401446
LINCOLN,ANGEL SPRINGS FIRE,2018-08-04 00:00:00+00:00,5266,43,47.5827433,-118.4176925
DOUGLAS,CHELAN HILLS FIRE,2018-07-28 00:00:00+00:00,5261,17,47.7417625,-119.6946219
GRANT,BUCKSHOT FIRE,2018-07-20 00:00:00+00:00,5257,25,47.2136328,-119.467788
SPOKANE,UPRIVER BEACON FIRE,2018-07-17 00:00:00+00:00,5254,63,47.6203752,-117.4033714
KITTITAS,RYEGRASS COULEE FIRE,2018-07-10 00:00:00+00:00,5253,37,47.1244411,-120.6767092
KITTITAS,JOLLY MOUNTAIN FIRE,2017-09-02 00:00:00+00:00,5200,37,47.1244411,-120.6767092
YAKIMA,SOUTH WENAS FIRE,2017-06-28 00:00:00+00:00,5187,77,46.4565581,-120.7401446
CHELAN,SPROMBERG FIRE,2017-05-23 00:00:00+00:00,5182,7,47.8609739,-120.619041
CHELAN,SUNCREST FIRE,2016-08-28 00:00:00+00:00,5152,7,47.8609739,-120.619041
SPOKANE,YALE FIRE,2016-08-22 00:00:00+00:00,5149,63,47.6203752,-117.4033714
SPOKANE,WELLESLEY FIRE ,2016-08-22 00:00:00+00:00,5148,63,47.6203752,-117.4033714
BENTON,SOUTH WARD GAP FIRE,2016-08-01 00:00:00+00:00,5142,5,46.2281252,-119.5166594
KLICKITAT,HORSETHIEF BUTTE FIRE,2015-09-14 00:00:00+00:00,5113,39,45.8704463,-120.7793049
SKAGIT,GOODELL FIRE,2015-08-24 00:00:00+00:00,5109,57,48.4932917,-121.8157703
FERRY,RENNER FIRE,2015-08-21 00:00:00+00:00,5108,19,48.4732563,-118.5335894
OKANOGAN,TWISP RIVER FIRE,2015-08-19 00:00:00+00:00,5106,47,48.5484533,-119.7422347
FERRY,OKANAGAN COUNTY FIRE COMPLEX,2015-08-15 00:00:00+00:00,5104,19,48.4732563,-118.5335894
